electricity,"электричество"
electrical,"электрический"
electric power station,"электростанция"
energy,"энергия"
electric power,"электроэнергия"
light bulb,"лампочка"
torch,"фонарь (ручной)"
street light,"фонарь (уличный)"
light,"свет (электричество)"
to turn on,"включать"
to turn off,"выключать"
to turn off the light,"погасить свет"
to burn out,"перегореть (о лампочке)"
short circuit,"короткое замыкание"
broken wire,"обрыв (провода)"
contact,"контакт"
switch,"выключатель"
socket outlet,"розетка"
plug,"вилка (электр.)"
extension lead,"удлинитель"
fuse,"предохранитель"
cable,"провод"
wiring,"проводка"
ampere,"ампер"
amperage,"сила тока"
volt,"вольт"
voltage,"напряжение"
electrical device,"электроприбор"
indicator,"индикатор"
electrician,"электрик"
to solder,"паять"
soldering iron,"паяльник"
current,"ток"
