primitive,"первобытный"
prehistoric,"доисторический"
ancient,"древний"
Stone Age,"Каменный Век"
Bronze Age,"Бронзовый Век"
Ice Age,"Ледниковый период"
tribe,"племя"
cannibal,"людоед"
hunter,"охотник"
to hunt,"охотиться"
mammoth,"мамонт"
cave,"пещера"
fire,"огонь"
campfire,"костёр"
rock painting,"наскальный рисунок"
tool,"орудие труда"
spear,"копьё"
stone axe,"каменный топор"
to be at war,"воевать"
to domesticate,"приручать (животных)"
idol,"идол"
to worship,"поклоняться"
superstition,"суеверие"
rite,"обряд, ритуал"
evolution,"эволюция"
development,"развитие"
disappearance,"исчезновение"
to adapt oneself,"приспосабливаться"
archaeology,"археология"
archaeologist,"археолог"
archaeological,"археологический"
excavation site,"раскопки (место работ)"
excavations,"раскопки (работы)"
find,"находка"
fragment,"фрагмент"
