bathroom,"ванная комната"
water,"вода"
tap,"кран"
hot water,"горячая вода"
cold water,"холодная вода"
toothpaste,"зубная паста"
to clean one's teeth,"чистить зубы"
to shave,"бриться"
shaving foam,"пена для бритья"
razor,"бритва"
to wash,"мыть"
to have a bath,"мыться"
shower,"душ"
to have a shower,"принимать душ"
bath,"ванна"
toilet,"унитаз"
sink,"раковина"
soap,"мыло"
soap dish,"мыльница"
sponge,"губка"
shampoo,"шампунь"
towel,"полотенце"
bathrobe,"халат (махровый)"
laundry,"стирка"
washing machine,"стиральная машина"
to do the laundry,"стирать бельё"
washing powder,"стиральный порошок"
