consent,"согласие"
to agree,"соглашаться"
approval,"одобрение"
to approve,"одобрить"
refusal,"отказ"
to refuse,"отказаться"
Great!,"Отлично!"
All right!,"Хорошо! (согласен)"
Okay!,"Ладно! (согласен)"
forbidden,"запрещённый"
it's forbidden,"нельзя (запрещено)"
incorrect,"неправильный (ошибочный)"
to reject,"отклонить (просьбу)"
to support,"поддержать"
to accept,"принять"
to confirm,"подтвердить"
confirmation,"подтверждение"
permission,"разрешение (согласие)"
to permit,"разрешить"
decision,"решение"
to say nothing,"промолчать"
condition,"условие"
excuse,"отговорка"
praise,"похвала"
to praise,"похвалить"
