money,"деньги"
exchange,"обмен"
exchange rate,"курс валют"
cashpoint,"банкомат"
coin,"монета"
dollar,"доллар"
euro,"евро"
lira,"итальянская лира"
Deutschmark,"немецкая марка"
franc,"франк"
pound sterling,"фунт стерлингов"
yen,"йена"
debt,"долг"
debtor,"должник"
to lend,"дать в долг"
to borrow,"взять в долг"
bank,"банк"
account,"счет (в банке)"
to deposit,"положить на счёт"
credit card,"кредитная карта"
cash,"наличные деньги"
cheque,"чек"
to write a cheque,"выписать чек"
checkbook,"чековая книжка"
wallet,"бумажник"
purse,"кошелёк"
safe,"сейф"
heir,"наследник"
inheritance,"наследство"
fortune,"состояние"
lease,"аренда"
rent,"квартирная плата"
to rent,"снимать (квартиру)"
price,"цена"
cost,"стоимость"
sum,"сумма"
expenses,"расходы"
to economize,"экономить"
thrifty,"экономный"
to pay,"платить"
payment,"оплата"
change,"сдача (деньги)"
tax,"налог"
fine,"штраф"
to fine,"штрафовать"
