character,"характер"
character flaw,"недостаток (характера)"
mind,"ум"
reason,"разум"
conscience,"совесть"
habit,"привычка"
ability,"способность (к чему-л.)"
can,"уметь"
patient,"терпеливый"
impatient,"нетерпеливый"
curious,"любопытный"
curiosity,"любопытство"
modesty,"скромность"
modest,"скромный"
immodest,"нескромный"
lazy,"ленивый"
lazy person,"лентяй"
cunning,"хитрый, хитрость"
distrust,"недоверие"
distrustful,"недоверчивый"
generosity,"щедрость"
generous,"щедрый"
talented,"талантливый"
talent,"талант"
courageous,"смелый"
courage,"смелость"
