agriculture,"сельское хозяйство"
peasant,"крестьянин"
farmer,"фермер"
tractor,"трактор"
harvester,"комбайн"
plough,"плуг"
to plough,"пахать"
arable land,"пашня"
furrow,"борозда"
to sow,"сеять"
seeder,"сеялка"
sowing,"посев (действие)"
scythe,"коса (орудие)"
to mow,"косить (траву)"
shovel,"лопата"
to dig,"копать"
hoe,"тяпка"
to weed,"полоть"
weed,"сорняк"
watering can,"лейка"
to water,"поливать"
watering,"полив"
pitchfork,"вилы"
rake,"грабли"
fertilizer,"удобрение (вещество)"
to fertilize,"удобрять"
manure,"навоз"
field,"поле"
meadow,"луг"
vegetable garden,"огород"
orchard,"сад"
to pasture,"пасти (скот)"
herdsman,"пастух"
pastureland,"пастбище"
cattle breeding,"животноводство"
sheep farming,"овцеводство"
plantation,"плантация"
row,"грядка"
greenhouse,"парник"
drought,"засуха"
dry,"засушливый (лето, период)"
grain,"зерно, зерновые"
to harvest,"убирать (урожай)"
miller,"мельник"
mill,"мельница"
to grind,"молоть (зерно)"
flour,"мука"
straw,"солома"
