business,"дело, бизнес"
firm,"фирма"
company,"компания"
corporation,"корпорация"
enterprise,"предприятие"
agency,"агентство"
agreement,"договор"
contract,"контракт"
deal,"сделка"
order,"заказ"
term,"условие (договора)"
wholesale,"оптом, оптовый"
retail,"розничный, продажа в розницу"
competitor,"конкурент, конкуренция"
to compete,"конкурировать"
partner,"партнёр"
partnership,"партнерство"
co-founder,"соучредитель"
crisis,"кризис"
bankruptcy,"банкротство"
to go bankrupt,"обанкротиться"
difficulty,"трудность"
problem,"проблема"
economy,"экономика"
economic,"экономический"
economic recession,"экономический спад"
goal,"цель"
task,"задача"
to trade,"торговать"
network,"сеть (дистрибьюторов)"
inventory,"склад (товары)"
assortment,"ассортимент"
leader,"лидер"
monopoly,"монополия"
theory,"теория"
practice,"практика"
experience,"опыт (знания)"
trend,"тенденция"
development,"развитие"
profitability,"выгода"
profitable,"выгодный"
delegation,"делегация"
salary,"заработная плата"
to correct,"исправлять (ошибку)"
business trip,"командировка"
commission,"комиссия"
to control,"контролировать"
conference,"конференция"
license,"лицензия"
reliable,"надёжный (партнёр)"
initiative,"начинание"
norm,"норма (стандарт)"
circumstance,"обстоятельство"
duty,"обязанность"
enterprise,"организация (предприятие)"
organization,"организация (процесс)"
organized,"организованный"
cancellation,"отмена"
to cancel,"отменить"
report,"отчёт"
patent,"патент"
to patent,"патентовать"
to plan,"планировать"
bonus,"премия"
professional,"профессиональный"
procedure,"процедура"
to examine,"рассмотреть (вопрос и т.п.)"
calculation,"расчёт (прибыли и т.п.)"
reputation,"репутация"
risk,"риск"
to manage,"руководить, управлять"
information,"сведения"
property,"собственность"
union,"союз (группа фирм)"
life insurance,"страхование жизни"
to insure,"страховать"
insurance,"страховка"
auction,"торги (аукцион)"
to notify,"уведомить"
management,"управление (процесс)"
service,"услуга"
forum,"форум"
to function,"функционировать"
stage,"этап (работы и т.п.)"
legal,"юридический"
lawyer,"юрист"
