camera,"фотоаппарат"
photo,"фотография"
photographer,"фотограф"
photo studio,"фотостудия"
photo album,"фотоальбом"
camera lens,"объектив"
telephoto lens,"телеобъектив"
filter,"фильтр"
lens,"линза"
optics,"оптика"
diaphragm,"диафрагма"
exposure time,"выдержка"
viewfinder,"видоискатель"
digital camera,"цифровая камера"
tripod,"штатив"
flash,"вспышка"
to photograph,"фотографировать"
to take pictures,"снимать (в фото)"
focus,"фокус (фото)"
to adjust the focus,"наводить на резкость"
sharp,"резкий (фото)"
sharpness,"резкость"
contrast,"контраст"
contrast,"контрастный"
picture,"снимок (фото)"
negative,"негатив (фото)"
film,"фотоплёнка"
frame,"кадр"
to print,"печатать"
