hunt,"охота"
to hunt,"охотится"
hunter,"охотник"
to shoot,"стрелять"
rifle,"ружьё"
bullet,"патрон"
shotgun pellets,"дробь"
trap,"капкан"
snare,"ловушка"
to fall into the trap,"попасться в капкан"
to lay a trap,"ставить капкан"
poacher,"браконьер"
game,"дичь"
hound,"охотничья собака"
safari,"сафари"
mounted animal,"чучело (из шкуры животного)"
fisherman,"рыбак"
fishing,"рыбалка"
to fish,"ловить рыбу"
fishing rod,"удочка"
fishing line,"леска"
hook,"крючок (рыболовн.)"
float,"поплавок"
bait,"наживка"
to cast a line,"забросить удочку"
to bite,"клевать (о рыбе)"
catch of fish,"улов"
ice-hole,"прорубь"
net,"сеть (рыболовн.)"
boat,"лодка"
to net,"ловить сетью"
to cast the net,"забрасывать сеть"
to haul in the net,"вытаскивать сеть"
to fall into the net,"попасться в сеть"
whaler,"китобой"
whaleboat,"китобойное судно"
harpoon,"гарпун"
