furniture,"мебель"
table,"стол"
chair,"стул"
bed,"кровать"
sofa,"диван"
armchair,"кресло"
bookcase,"шкаф (книжный)"
shelf,"полка (для книг)"
set of shelves,"этажерка"
wardrobe,"шкаф (для одежды)"
coat rack,"вешалка (на стене)"
coat stand,"вешалка (стойка)"
chest of drawers,"комод"
coffee table,"журнальный столик"
mirror,"зеркало"
carpet,"ковёр"
small carpet,"коврик"
fireplace,"камин"
candle,"свеча"
candlestick,"подсвечник"
drapes,"шторы"
wallpaper,"обои"
blinds,"жалюзи"
table lamp,"настольная лампа"
standard lamp,"торшер"
chandelier,"люстра"
leg,"ножка (стола, стула)"
armrest,"подлокотник"
back,"спинка (стула и т.п.)"
drawer,"ящик (стола)"
