language,"язык (напр. русский)"
foreign,"иностранный"
to study,"изучать"
to learn,"учить"
to read,"читать"
to speak,"говорить"
to understand,"понимать"
to write,"писать"
quickly,"быстро"
slowly,"медленно"
fluently,"свободно (говорить)"
rules,"правила"
grammar,"грамматика"
vocabulary,"лексика"
phonetics,"фонетика"
textbook,"учебник"
dictionary,"словарь"
teach-yourself book,"самоучитель"
phrasebook,"разговорник"
cassette,"кассета"
videotape,"видеокассета"
alphabet,"алфавит"
to spell,"говорить по буквам"
pronunciation,"произношение"
accent,"акцент"
with an accent,"с акцентом"
without an accent,"без акцента"
word,"слово (единица речи)"
meaning,"смысл (значение слова)"
course,"курсы"
to sign up,"записаться (на курсы)"
teacher,"учитель"
translation,"перевод (текст)"
translator,"переводчик"
interpreter,"переводчик (устный)"
polyglot,"полиглот"
memory,"память"
