feeling,"чувство"
to feel,"чувствовать"
hunger,"голод"
to be hungry,"хотеть есть"
thirst,"жажда"
to be thirsty,"хотеть пить"
sleepiness,"сонливость"
to feel sleepy,"хотеть спать"
tiredness,"усталость"
tired,"усталый"
to get tired,"устать (быть усталым)"
mood,"настроение"
boredom,"скука"
to be bored,"скучать"
seclusion,"уединение"
to seclude oneself,"уединиться"
to worry,"беспокоить (волновать)"
to be worried,"беспокоиться"
anxiety,"беспокойство"
preoccupied,"озабоченный"
to be nervous,"нервничать"
to panic,"паниковать"
hope,"надежда"
to hope,"надеяться"
certainty,"уверенность"
sure,"уверенный"
uncertainty,"неуверенность"
uncertain,"неуверенный"
drunk,"пьяный"
sober,"трезвый"
weak,"слабый"
happy,"счастливый"
to scare,"испугать"
rage,"ярость"
depression,"депрессия"
discomfort,"дискомфорт"
comfort,"комфорт"
to regret,"сожалеть"
regret,"сожаление"
bad luck,"невезение"
sadness,"огорчение"
shame,"стыд"
merriment,"веселье (радость)"
enthusiasm,"энтузиазм"
enthusiast,"энтузиаст"
to show enthusiasm,"проявить энтузиазм"
