plant,"завод"
factory,"фабрика"
workshop,"цех"
production site,"производство (завод и т.п.)"
industry,"промышленность"
industrial,"промышленный"
heavy industry,"тяжёлая промышленность"
light industry,"лёгкая промышленность"
products,"продукция"
to produce,"производить"
raw materials,"сырьё"
foreman,"бригадир"
workers team,"бригада"
worker,"рабочий"
working day,"рабочий день"
pause,"остановка, перерыв"
meeting,"собрание"
to discuss,"обсуждать"
plan,"план"
to fulfill the plan,"выполнять план"
rate of output,"норма выработки"
quality,"качество"
checking,"контроль (проверка)"
quality control,"контроль качества"
safety of work,"безопасность труда"
discipline,"дисциплина"
