to fly,"летать"
to make circles,"кружить (о птице)"
to fly away,"улететь"
to flap the wings,"махать крыльями"
to peck,"клевать"
to brood,"высиживать яйца"
to hatch out,"вылупляться"
to build the nest,"вить гнездо"
to slither,"ползать"
to sting,"жалить (о насекомом)"
to bite,"кусать (о собаке и т.п.)"
to sniff,"нюхать (о животном)"
to bark,"лаять"
to hiss,"шипеть"
to scare,"пугать"
to attack,"нападать"
to gnaw,"грызть"
to scratch,"царапать"
to hide,"прятаться"
to play,"играть"
to hunt,"охотиться"
to hibernate,"быть в спячке"
to become extinct,"вымереть"
