science,"наука"
scientific,"научный"
scientist,"учёный"
theory,"теория"
axiom,"аксиома"
analysis,"анализ"
to analyze,"анализировать"
argument,"аргумент"
substance,"вещество"
hypothesis,"гипотеза"
dilemma,"дилемма"
dissertation,"диссертация"
dogma,"догма"
doctrine,"доктрина"
research,"исследование (поиск)"
to do research,"исследовать"
testing,"контроль (испытания)"
laboratory,"лаборатория"
method,"метод"
molecule,"молекула"
monitoring,"мониторинг"
discovery,"открытие"
postulate,"постулат"
principle,"принцип"
forecast,"прогноз"
to forecast,"прогнозировать"
synthesis,"синтез"
trend,"тенденция"
theorem,"теорема"
teachings,"учения"
fact,"факт"
expedition,"экспедиция"
experiment,"эксперимент"
academician,"академик"
bachelor,"бакалавр"
Associate Professor,"доцент"
Master,"магистр"
professor,"профессор"
