bandit,"бандит"
crime,"преступление"
criminal,"преступник"
thief,"вор"
to steal,"воровать"
stealing,"воровство"
theft,"кража"
to kidnap,"похитить (кого-л.)"
kidnapping,"похищение (людей)"
kidnapper,"похититель (людей)"
ransom,"выкуп (плата)"
to demand ransom,"требовать выкуп"
to rob,"грабить"
robbery,"грабёж"
robber,"грабитель"
to extort,"вымогать"
extortionist,"вымогатель"
extortion,"вымогательство"
to murder,"убить"
murder,"убийство"
murderer,"убийца"
gunshot,"выстрел"
to fire a shot,"выстрелить"
to shoot down,"застрелить"
to shoot,"стрелять"
shooting,"стрельба"
incident,"происшествие"
fight,"драка"
Help!,"На помощь!"
victim,"жертва"
to damage,"повредить"
damage,"ущерб"
dead body,"труп"
grave,"тяжкий (о преступлении)"
to attack,"нападать"
to beat,"бить, ударять"
to beat up,"избить"
to take,"отнять (деньги и т.п.)"
to stab to death,"зарезать"
to maim,"изувечить"
to wound,"ранить"
blackmail,"шантаж"
to blackmail,"шантажировать"
blackmailer,"шантажист"
protection racket,"рэкет"
racketeer,"рэкетир"
gangster,"гангстер"
mafia,"мафия"
pickpocket,"карманный вор"
burglar,"взломщик"
