toothpaste,"зубная паста"
toothbrush,"зубная щётка"
to clean one's teeth,"чистить зубы"
razor,"бритва"
shaving cream,"крем для бритья"
to shave,"бриться"
soap,"мыло"
shampoo,"шампунь"
scissors,"ножницы"
nail file,"пилочка для ногтей"
nail clippers,"щипчики для ногтей"
tweezers,"пинцет"
cosmetics,"косметика"
face mask,"маска (космет.)"
manicure,"маникюр"
to have a manicure,"делать маникюр"
pedicure,"педикюр"
make-up bag,"косметичка"
face powder,"пудра"
powder compact,"пудреница"
blusher,"румяна"
perfume,"духи"
toilet water,"туалетная вода"
lotion,"лосьон"
cologne,"одеколон"
eyeshadow,"тени для век"
eyeliner,"карандаш для глаз"
mascara,"тушь для ресниц"
lipstick,"губная помада"
nail polish,"лак для ногтей"
hair spray,"лак для волос"
deodorant,"дезодорант"
cream,"крем"
face cream,"крем для лица"
hand cream,"крем для рук"
anti-wrinkle cream,"крем против морщин"
day cream,"дневной крем"
night cream,"ночной крем"
tampon,"тампон"
toilet paper,"туалетная вода"
hair dryer,"фен"
