fire,"огонь"
flame,"пламя"
spark,"искра"
smoke,"дым"
torch,"факел"
campfire,"костёр"
petrol,"бензин"
paraffin,"керосин"
flammable,"горючий"
explosive,"взрывоопасный"
NO SMOKING,"НЕ КУРИТЬ"
safety,"безопасность"
danger,"опасность"
dangerous,"опасный"
to catch fire,"загореться"
explosion,"взрыв"
to set fire,"поджечь"
arsonist,"поджигатель"
arson,"поджог"
to blaze,"пылать"
to burn,"гореть"
to burn down,"сгореть"
to call the fire brigade,"вызвать пожарный"
firefighter,"пожарный"
fire engine,"пожарная машина"
fire brigade,"пожарная команда"
fire engine ladder,"выдвижная лестница"
fire hose,"шланг"
fire extinguisher,"огнетушитель"
helmet,"каска"
siren,"сирена"
to call out,"кричать"
to call for help,"звать на помощь"
rescuer,"спасатель"
to rescue,"спасать"
to arrive,"приехать"
to extinguish,"тушить"
water,"вода"
sand,"песок"
ruins,"руины"
to collapse,"рухнуть"
to fall down,"обвалиться"
to cave in,"обрушиться"
fragment,"обломок"
ash,"пепел"
to suffocate,"задохнуться"
to be killed,"погибнуть"
