winter,"зима, зимний"
in winter,"зимой"
snow,"снег"
it's snowing,"идёт снег"
snowfall,"снегопад"
snowdrift,"сугроб"
snowflake,"снежинка"
snowball,"снежок"
snowman,"снеговик"
icicle,"сосулька"
December,"декабрь"
January,"январь"
February,"февраль"
heavy frost,"мороз"
frosty,"морозный"
below zero,"ниже нуля"
first frost,"заморозки"
hoarfrost,"иней"
cold,"холод, простуда"
it's cold,"холодно"
fur coat,"шуба"
mittens,"варежки"
to fall ill,"заболеть"
to catch a cold,"простудиться"
ice,"лёд"
black ice,"гололёд"
to ice over,"замёрзнуть (о реке)"
ice floe,"льдина"
skis,"лыжи"
skier,"лыжник"
to ski,"кататься на лыжах"
to skate,"кататься на коньках"
