communication,"общение"
to communicate,"общаться"
conversation,"разговор"
dialogue,"диалог"
discussion,"дискуссия, обсуждение"
debate,"спор (дебаты)"
to debate,"спорить"
interlocutor,"собеседник"
topic,"тема"
point of view,"точка зрения"
opinion,"мнение"
speech,"речь (выступление)"
to discuss,"обсуждать"
talk,"беседа"
to talk,"беседовать"
meeting,"встреча"
to meet,"встречаться"
proverb,"пословица"
saying,"поговорка"
riddle,"загадка"
to ask a riddle,"загадывать загадку"
password,"пароль"
secret,"секрет"
oath,"клятва"
to swear,"клясться"
promise,"обещание"
to promise,"обещать"
advice,"совет"
to advise,"советовать"
to follow one's advice,"следовать совету"
news,"новости"
sensation,"сенсация"
information,"сведения"
conclusion,"вывод (заключение)"
voice,"голос"
compliment,"комплимент"
kind,"любезный"
word,"слово"
phrase,"фраза"
answer,"ответ (на вопрос)"
truth,"правда"
lie,"ложь"
thought,"мысль"
idea,"идея"
fantasy,"фантазия"
