river,"река"
spring,"источник, родник"
riverbed,"русло"
basin,"бассейн реки"
to flow into,"впадать в (о реке)"
tributary,"приток"
bank,"берег"
current,"течение"
downstream,"вниз по течению"
upstream,"вверх по течению"
flood,"наводнение"
flooding,"половодье"
to overflow,"разливаться (о реке)"
to flood,"затоплять"
shallows,"мель"
rapids,"порог"
dam,"плотина"
canal,"канал"
artificial lake,"водохранилище"
sluice,"шлюз"
water body,"водоём"
swamp,"болото"
marsh,"трясина"
whirlpool,"водоворот"
stream,"ручей"
drinking,"питьевая"
fresh,"пресная (о воде)"
ice,"лёд"
to ice over,"замёрзнуть (о реке)"
Seine,"Сена"
Loire,"Луара"
Thames,"Темза"
Rhine,"Рейн"
Danube,"Дунай"
Volga,"Волга"
Don,"Дон"
Lena,"Лена"
Yellow River,"Хуанхэ"
Yangtze,"Янцзы"
Mekong,"Меконг"
Ganges,"Ганг"
Nile,"Нил"
Congo,"Конго"
Okavango,"Окаванго"
Zambezi,"Замбези"
Limpopo,"Лимпопо"
