domestic animals,"домашние животные"
cat,"кошка"
tomcat,"кот"
dog,"собака"
horse,"лошадь"
stallion,"жеребец"
mare,"кобыла"
cow,"корова"
bull,"бык"
ox,"вол"
sheep,"овца"
ram,"баран"
goat,"коза"
he-goat,"козёл"
donkey,"осёл"
mule,"мул"
pig,"свинья"
piglet,"поросёнок"
rabbit,"кролик"
hen,"курица"
cock,"петух"
duck,"утка"
drake,"селезень"
goose,"гусь"
stag turkey,"индюк"
turkey,"индюшка"
tame,"ручной (о животных)"
to tame,"приручать"
to breed,"выращивать"
farm,"ферма"
poultry,"домашняя птица"
cattle,"скот"
herd,"стадо"
stable,"конюшня"
pigsty,"свинарник"
cowshed,"коровник"
rabbit hutch,"крольчатник"
hen house,"курятник"
