search,"розыск, обыск"
to look for,"искать, разыскивать"
suspicion,"подозрение"
suspicious,"подозрительный"
to stop,"остановить (для проверки)"
to detain,"задержать"
case,"дело (уголовное)"
investigation,"расследование"
detective,"детектив, сыщик"
investigator,"следователь"
version,"версия"
motive,"мотив (преступления)"
interrogation,"допрос"
to interrogate,"допрашивать"
to question,"опрашивать"
checking,"проверка"
round-up,"облава"
chase,"погоня"
to pursue,"преследовать"
to track,"следить"
arrest,"арест"
to arrest,"арестовать"
to catch,"поймать (преступника)"
capture,"поимка"
document,"документ"
proof,"доказательство"
to prove,"доказывать"
footprint,"след (отпечаток ноги)"
fingerprints,"отпечатки пальцев"
piece of evidence,"улика"
alibi,"алиби"
innocent,"невиновный"
injustice,"несправедливость"
unjust,"несправедливый"
crime,"криминальный"
to confiscate,"конфисковать"
drug,"наркотик"
weapon,"оружие"
to disarm,"обезоружить"
to order,"приказывать"
to disappear,"исчезнуть"
law,"закон"
legal,"законный"
illegal,"незаконный"
responsibility,"ответственность"
responsible,"ответственный"
