sportsman,"спортсмен"
kind of sport,"вид спорта"
basketball,"баскетбол"
basketball player,"баскетболист"
baseball,"бейсбол"
baseball player,"бейсболист"
football,"футбол"
football player,"футболист"
goalkeeper,"вратарь"
ice hockey,"хоккей"
ice hockey player,"хоккеист"
volleyball,"волейбол"
volleyball player,"волейболист"
boxing,"бокс"
boxer,"боксёр"
wrestling,"борьба"
wrestler,"борец"
karate,"карате"
karate fighter,"каратист"
judo,"дзюдо"
judo athlete,"дзюдоист"
tennis,"теннис"
tennis player,"теннисист"
swimming,"плавание"
swimmer,"пловец"
fencing,"фехтование"
fencer,"фехтовальщик"
chess,"шахматы"
chess player,"шахматист"
alpinism,"альпинизм"
alpinist,"альпинист"
running,"бег"
runner,"бегун"
athletics,"лёгкая атлетика"
athlete,"атлет"
horse riding,"конный спорт"
horse rider,"наездник"
figure skating,"фигурное катание"
figure skater,"фигурист, фигуристка"
weightlifting,"тяжёлая атлетика"
weightlifter,"тяжелоатлет"
car racing,"автогонки"
racing driver,"гонщик"
cycling,"велоспорт"
cyclist,"велосипедист"
long jump,"прыжки в длину"
pole vaulting,"прыжки с шестом"
jumper,"прыгун"
