building site,"стройка (место)"
to build,"строить"
building worker,"строитель"
project,"проект"
architect,"архитектор"
worker,"рабочий"
foundations,"фундамент"
roof,"крыша"
foundation pile,"свая"
wall,"стена"
reinforcing bars,"арматура"
scaffolding,"строительные леса"
concrete,"бетон"
granite,"гранит"
stone,"камень"
brick,"кирпич"
sand,"песок"
cement,"цемент"
plaster,"штукатурка"
to plaster,"штукатурить"
paint,"краска"
to paint,"красить"
barrel,"бочка"
crane,"строительный кран"
to lift,"поднимать"
to lower,"опускать"
bulldozer,"бульдозер"
excavator,"экскаватор"
scoop,"ковш"
to dig,"копать (котлован)"
hard hat,"каска"
