weapons,"оружие"
firearm,"огнестрельное оружие"
cold weapons,"холодное оружие"
chemical weapons,"химическое оружие"
nuclear,"ядерный"
nuclear weapons,"ядерное оружие"
bomb,"бомба"
atomic bomb,"атомная бомба"
pistol,"пистолет"
rifle,"ружьё"
submachine gun,"автомат"
machine gun,"пулемёт"
muzzle,"дуло"
barrel,"ствол"
caliber,"калибр"
trigger,"курок"
sight,"прицел"
magazine,"магазин (автомата)"
butt,"приклад"
hand grenade,"ручная граната"
explosive,"взрывчатка"
bullet,"пуля"
cartridge,"патрон"
charge,"заряд"
ammunition,"боеприпасы"
bomber,"бомбардировщик"
