jar,"банка (стеклянная)"
tin,"банка (жестяная)"
bucket,"ведро"
barrel,"бочка"
basin,"таз"
tank,"бак"
hip flask,"фляжка"
canister,"канистра"
cistern,"цистерна"
mug,"кружка"
cup,"чашка"
saucer,"блюдце"
glass,"стакан, бокал"
stew pot,"кастрюля"
bottle,"бутылка, флакон"
neck,"горлышко (бутылки)"
carafe,"графин"
jug,"кувшин"
vessel,"сосуд"
pot,"горшок"
vase,"ваза"
vial,"пузырек"
tube,"тюбик"
sack,"мешок (сахара и т.п.)"
bag,"пакет (мешок)"
packet,"пачка (чая и т.п.)"
box,"коробка, ящик"
basket,"корзина"
