city,"город"
capital,"столица"
village,"деревня"
city map,"план города"
city centre,"центр города"
suburb,"пригород"
suburban,"пригородный"
outskirts,"окраина (города)"
environs,"окрестности"
quarter,"квартал"
residential quarter,"жилой квартал"
traffic,"уличное движение"
traffic lights,"светофор"
public transport,"городской транспорт"
crossroads,"перекрёсток"
zebra crossing,"пешеходный переход"
pedestrian subway,"подземный переход"
to cross,"переходить (улицу)"
pedestrian,"пешеход"
pavement,"тротуар"
bridge,"мост"
embankment,"набережная"
alley,"аллея"
park,"парк"
boulevard,"бульвар"
