Why?,"Почему?"
for some reason,"почему-то"
because,"потому, что"
and,"и"
or,"или"
but,"но"
for,"для (предлог)"
too,"слишком"
only,"только"
exactly,"точно"
about,"около (~ 10 кг)"
approximately,"приблизительно"
approximate,"приблизительный"
almost,"почти"
the rest,"остальное"
the other,"другой (второй)"
other,"другой (иной)"
each,"каждый"
any,"любой"
many,"много (с исчисл.)"
much,"много (с неисчисл.)"
many people,"многие"
all,"все"
in exchange for,"в обмен на"
in exchange,"взамен"
by hand,"вручную"
hardly,"вряд ли"
probably,"наверное (вероятно)"
on purpose,"нарочно"
by accident,"случайно"
very,"очень"
for example,"например"
between,"между"
among,"среди"
so much,"столько"
especially,"особенно"
