shirt,"рубашка"
trousers,"брюки"
jeans,"джинсы"
suit,"костюм (мужской)"
dress,"платье"
skirt,"юбка"
blouse,"блузка"
knitted jacket,"кофта (шерстяная)"
T-shirt,"футболка"
shorts,"шорты"
tracksuit,"спортивный костюм"
bathrobe,"халат (махровый)"
pajamas,"пижама"
sweater,"свитер"
pullover,"пуловер"
waistcoat,"жилет"
tailcoat,"фрак"
dinner suit,"смокинг"
uniform,"форма (униформа)"
workwear,"рабочая одежда"
boiler suit,"комбинезон"
coat,"халат (врача)"
clothes,"одежда"
outer clothing,"верхняя одежда"
winter clothing,"зимняя одежда"
overcoat,"пальто"
fur coat,"шуба"
fur jacket,"полушубок"
down coat,"пуховик"
jacket,"куртка, пиджак, жакет"
raincoat,"плащ"
waterproof,"непромокаемый"
shirt,"рубашка"
trousers,"брюки"
jeans,"джинсы"
suit,"костюм (мужской)"
dress,"платье"
skirt,"юбка"
blouse,"блузка"
knitted jacket,"кофта (шерстяная)"
T-shirt,"футболка"
shorts,"шорты"
tracksuit,"спортивный костюм"
bathrobe,"халат (махровый)"
pajamas,"пижама"
sweater,"свитер"
pullover,"пуловер"
waistcoat,"жилет"
tailcoat,"фрак"
dinner suit,"смокинг"
uniform,"форма (униформа)"
workwear,"рабочая одежда"
boiler suit,"комбинезон"
coat,"халат (врача)"
underwear,"белье (одежда)"
vest,"майка"
socks,"носки"
nightgown,"ночная рубашка"
bra,"бюстгальтер"
knee highs,"гольфы (носки)"
tights,"колготки"
stockings,"чулки"
swimsuit,"купальник"
hat,"шапка"
trilby hat,"Шляпа"
baseball cap,"бейсболка"
cap,"кепка"
beret,"берет"
hood,"капюшон"
panama,"панамка"
knitted hat,"вязаная шапочка"
headscarf,"платок (головной)"
hard hat,"каска"
forage cap,"пилотка (воен.)"
helmet,"шлем"
top hat,"цилиндр"
footwear,"обувь"
ankle boots,"ботинки"
shoes,"туфли"
boots,"сапоги"
slippers,"тапочки"
trainers,"кроссовки"
gumshoes,"кеды"
sandals,"сандалии"
cobbler,"сапожник"
heel,"каблук"
pair,"пара (обуви и т.д.)"
shoelace,"шнурок"
to lace up,"шнуровать (ботинки)"
shoehorn,"рожок (для обуви)"
shoe polish,"крем для обуви"
