time,"время"
instant,"миг, мгновенный"
period,"период"
life,"жизнь"
eternity,"вечность"
epoch,"эпоха"
era,"эра"
cycle,"цикл"
term,"срок (долгий)"
the future,"будущее (сущ.)"
future,"будущий"
next time,"в следующий раз"
the past,"прошлое (сущ.)"
past,"прошлый"
last time,"в прошлый раз"
later,"позже"
after,"после"
nowadays,"сейчас (в наше время)"
now,"сейчас (в эту минуту)"
immediately,"немедленно"
soon,"скоро"
in advance,"заранее"
a long time ago,"давно"
recently,"недавно"
destiny,"судьба"
memories,"память (воспоминания)"
archives,"архив"
during,"во время"
a long time,"долго"
not long,"недолго"
early,"рано (~ проснуться)"
late,"рано (~ встать)"
forever,"навсегда"
to start,"начинать"
to postpone,"перенести (о сроке)"
at the same time,"одновременно"
permanently,"постоянно (все время)"
constant,"постоянный (шум)"
temporary,"временный"
sometimes,"иногда"
rarely,"редко"
often,"часто"
