newspaper,"газета"
magazine,"журнал"
press,"пресса"
radio,"радио"
radio station,"радиостанция"
television,"телевидение"
presenter,"ведущий (тв)"
newsreader,"диктор"
commentator,"комментатор"
journalist,"журналист"
correspondent,"корреспондент"
press photographer,"фотокорреспондент"
reporter,"репортёр"
editor,"редактор"
editor-in-chief,"главный редактор"
to subscribe to,"подписаться (на газету)"
subscription,"подписка"
subscriber,"подписчик"
to read,"читать"
reader,"читатель"
circulation,"тираж (газеты, журнала)"
monthly,"ежемесячный"
weekly,"еженедельный"
issue,"номер (журнала)"
recent,"свежий (журнал, газета)"
headline,"заголовок"
short article,"заметка (в газете)"
column,"рубрика"
article,"статья"
page,"страница"
reportage,"репортаж"
event,"событие"
sensation,"сенсация"
scandal,"скандал"
scandalous,"скандальный"
interview,"интервью"
live broadcast,"прямая трансляция"
channel,"канал (вещания)"
