to sleep,"спать"
sleep,"сон (состояние)"
dream,"сон (сновидение)"
to dream,"видеть сны"
sleepy,"сонный"
bed,"кровать"
mattress,"матрас"
blanket,"одеяло"
pillow,"подушка"
sheet,"простыня"
insomnia,"бессонница"
sleepless,"бессонный"
sleeping pill,"снотворное"
to take a sleeping pill,"принять снотворное"
to feel sleepy,"хотеть спать"
to yawn,"зевать"
to go to bed,"идти спать"
to make up the bed,"стелить постель"
to fall asleep,"заснуть"
nightmare,"кошмар (сон)"
snoring,"храп"
to snore,"храпеть"
alarm clock,"будильник"
to wake,"разбудить"
to wake up,"просыпаться"
to get up,"подниматься, вставать (утром)"
to wash oneself,"умываться"
