stock,"акция"
bond,"облигация"
bill of exchange,"вексель"
stock exchange,"биржа"
stock price,"курс акций"
to become cheaper,"подешеветь"
to rise in price,"подорожать"
share,"доля, пай"
controlling interest,"контрольный пакет"
investment,"инвестиции"
to invest,"инвестировать"
percent,"процент"
interest,"проценты (доход)"
profit,"прибыль"
profitable,"прибыльный"
tax,"налог"
currency,"валюта"
national,"национальный"
exchange,"обмен"
accountant,"бухгалтер"
accounting,"бухгалтерия"
bankruptcy,"банкротство"
to be ruined,"разориться"
inflation,"инфляция"
devaluation,"девальвация"
capital,"капитал"
income,"доход"
turnover,"обороты"
resources,"ресурсы"
monetary resources,"денежные средства"
overheads,"накладные расходы"
to reduce,"сократить (расходы)"
