counterattack,"контратака"
combination,"комбинация"
referee,"арбитр"
to whistle,"свистеть"
whistle,"свисток"
foul,"нарушение"
to commit a foul,"нарушить"
to send off,"удалить с поля"
yellow card,"жёлтая карточка"
red card,"красная карточка"
disqualification,"дисквалификация"
to disqualify,"дисквалифицировать"
penalty kick,"пенальти"
wall,"стенка (футб.)"
to score,"забить"
goal,"гол"
to score a goal,"забить гол"
substitution,"замена"
to replace,"заменить (игрока)"
rules,"правила"
tactics,"тактика"
stadium,"стадион"
stand,"трибуна (стадиона)"
fan,"болельщик"
to shout,"кричать"
scoreboard,"табло"
score,"счёт (спорт.)"
defeat,"поражение"
to lose,"проиграть"
draw,"ничья"
to draw,"сыграть вничью"
victory,"победа"
to win,"победить"
champion,"чемпион"
the best,"лучший"
to congratulate,"поздравлять"
commentator,"комментатор"
to commentate,"комментировать"
broadcast,"трансляция"
