road,"дорога"
motorway,"автомагистраль"
highway,"шоссе"
direction,"направление"
distance,"расстояние"
bridge,"мост"
car park,"парковка"
square,"площадь"
road junction,"развязка"
tunnel,"тоннель"
petrol station,"автозаправка"
petrol pump,"бензоколонка"
to fill up,"заправить (машину)"
fuel,"топливо"
canister,"канистра"
asphalt,"асфальт"
road markings,"разметка"
border,"бордюр"
guardrail,"ограждение"
ditch,"кювет"
roadside,"обочина"
lamppost,"фонарный столб"
to drive,"водить (автомобиль)"
to turn,"поворачивать"
reverse,"задний ход"
to honk,"сигналить"
honk,"звуковой сигнал"
to get stuck,"застрять"
to spin,"буксовать"
to stop,"глушить (мотор)"
speed,"скорость"
to exceed the speed limit,"превысить скорость"
to fine,"штрафовать"
traffic lights,"светофор"
driving license,"водительские права"
level crossing,"железнодорожный переезд"
crossroads,"перекрёсток"
zebra crossing,"пешеходный переход"
pedestrian precinct,"пешеходная зона"
