platoon,"взвод"
company,"рота"
regiment,"полк"
army,"армия"
division,"дивизия"
detachment,"отряд"
host,"войско"
soldier,"солдат"
officer,"офицер"
private,"рядовой"
sergeant,"сержант"
lieutenant,"лейтенант"
captain,"капитан"
major,"майор"
colonel,"полковник"
general,"генерал"
sailor,"моряк"
captain,"капитан"
boatswain,"боцман"
artilleryman,"артиллерист"
paratrooper,"десантник"
pilot,"лётчик"
navigator,"штурман"
mechanic,"маханик"
pioneer,"сапёр"
parachutist,"парашютист"
scout,"разведчик"
sniper,"снайпер"
patrol,"патруль"
to patrol,"патрулировать"
sentry,"караул (воен. часовой)"
warrior,"воин"
hero,"герой"
heroine,"героиня"
patriot,"патриот"
traitor,"предатель"
to betray,"предавать, изменять"
deserter,"дезертир"
to desert,"дезертировать"
mercenary,"наёмник"
recruit,"новобранец"
volunteer,"доброволец"
dead,"убитый (сущ.)"
wounded,"раненый (сущ.)"
prisoner of war,"пленный (сущ.)"
