to take a walk,"гулять (прогуливаться)"
walk,"прогулка (пешком)"
trip,"поездка"
adventure,"приключение"
picnic,"пикник"
game,"игра"
player,"игрок"
collector,"коллекционер"
to collect,"коллекционировать"
collection,"коллекция"
crossword puzzle,"кроссворд"
racecourse,"ипподром"
discotheque,"дискотека"
sauna,"сауна"
lottery,"лотерея"
camping trip,"поход"
camp,"лагерь"
tent,"палатка"
compass,"компас"
camper,"турист (в походе)"
to watch,"смотреть (телевизор)"
viewer,"телезритель"
TV program,"телепередача"
